entry_date,entry_price,exit_date,exit_price,exit_reason,profit,return_pct,r_multiple
2015-02-05,1.5179113149642944,2015-02-12,1.5379113149642945,take_profit,0.020000000000000018,0.013176000338643286,2.0000000000000018
2015-04-07,1.4889593124389648,2015-04-09,1.4789593124389648,stop_loss,-0.010000000000000009,-0.006716100242940606,-1.0000000000000009
2015-04-10,1.4717353582382202,2015-04-10,1.4617353582382202,stop_loss,-0.010000000000000009,-0.00679469983786404,-1.0000000000000009
2015-04-17,1.4930944442749023,2015-04-24,1.5130944442749024,take_profit,0.020000000000000018,0.013394999945708525,2.0000000000000018
2015-06-12,1.5518070459365845,2015-06-17,1.5718070459365845,take_profit,0.020000000000000018,0.01288820027745726,2.0000000000000018
2015-07-24,1.5521925687789917,2015-08-06,1.5605981349945068,time_exit,0.008405566215515137,0.005415285696237578,0.8405566215515137
2015-08-12,1.5586034059524536,2015-08-24,1.5786034059524536,take_profit,0.020000000000000018,0.012832000702435353,2.0000000000000018
2015-09-18,1.5570987462997437,2015-09-22,1.5470987462997436,stop_loss,-0.010000000000000009,-0.006422200277126802,-1.0000000000000009
2015-10-09,1.535202145576477,2015-10-13,1.525202145576477,stop_loss,-0.010000000000000009,-0.006513800172058093,-1.0000000000000009
2015-10-16,1.547292947769165,2015-10-23,1.537292947769165,stop_loss,-0.010000000000000009,-0.0064629002635975775,-1.0000000000000009
2015-11-03,1.5423054695129395,2015-11-05,1.5323054695129394,stop_loss,-0.010000000000000009,-0.00648379986823104,-1.0000000000000009
2015-11-23,1.5190180540084839,2015-11-24,1.5090180540084839,stop_loss,-0.010000000000000009,-0.006583200228339194,-1.0000000000000009
2015-12-11,1.516208291053772,2015-12-15,1.506208291053772,stop_loss,-0.010000000000000009,-0.006595399892616312,-1.0000000000000009
2016-02-03,1.4408599138259888,2016-02-04,1.4608599138259888,take_profit,0.020000000000000018,0.013880599916818422,2.0000000000000018
2016-03-09,1.4208581447601318,2016-03-16,1.4108581447601318,stop_loss,-0.010000000000000009,-0.007038000265458028,-1.0000000000000009
2016-03-30,1.438807487487793,2016-04-01,1.428807487487793,stop_loss,-0.010000000000000009,-0.006950200139325346,-1.0000000000000009
2016-04-14,1.419305443763733,2016-04-19,1.439305443763733,take_profit,0.020000000000000018,0.014091399485486192,2.0000000000000018
2016-04-20,1.438807487487793,2016-04-26,1.458807487487793,take_profit,0.020000000000000018,0.013900400278650691,2.0000000000000018
2016-05-12,1.4436262845993042,2016-05-16,1.4336262845993042,stop_loss,-0.010000000000000009,-0.006927000503302438,-1.0000000000000009
