entry_date,entry_price,exit_date,exit_price,exit_reason,profit,return_pct,r_multiple
2015-02-02,1284.0999755859375,2015-02-03,1264.0999755859375,stop_loss,-20.0,-0.015575111268788832,-1.0
2015-02-05,1271.800048828125,2015-02-06,1251.800048828125,stop_loss,-20.0,-0.015725742437601418,-1.0
2015-03-23,1181.5999755859375,2015-04-06,1221.5999755859375,take_profit,40.0,0.033852404220103854,2.0
2015-04-22,1199.0999755859375,2015-04-24,1179.0999755859375,stop_loss,-20.0,-0.0166791763882966,-1.0
2015-04-28,1199.699951171875,2015-04-30,1179.699951171875,stop_loss,-20.0,-0.016670835053768124,-1.0
2015-05-14,1214.5,2015-05-26,1193.5999755859375,stop_loss,-20.9000244140625,-0.01720874797370317,-1.045001220703125
2015-06-19,1199.699951171875,2015-06-23,1179.699951171875,stop_loss,-20.0,-0.016670835053768124,-1.0
2015-08-11,1103.800048828125,2015-08-20,1143.800048828125,take_profit,40.0,0.03623844739132502,2.0
2015-09-21,1137.5999755859375,2015-09-30,1117.5999755859375,stop_loss,-20.0,-0.017580872388555307,-1.0
2015-10-05,1137.0999755859375,2015-10-14,1177.0999755859375,take_profit,40.0,0.03517720592632003,2.0
2015-12-07,1084.9000244140625,2015-12-11,1064.9000244140625,stop_loss,-20.0,-0.018434878375822406,-1.0
2015-12-17,1072.5999755859375,2015-12-17,1052.5999755859375,stop_loss,-20.0,-0.01864628049154527,-1.0
2015-12-22,1078.5999755859375,2015-12-31,1058.5999755859375,stop_loss,-20.0,-0.018542555583811526,-1.0
2016-01-05,1075.5999755859375,2016-01-19,1089.9000244140625,time_exit,14.300048828125,0.013294950867152065,0.71500244140625
2016-03-18,1257.0999755859375,2016-03-23,1237.0999755859375,stop_loss,-20.0,-0.015909633591932853,-1.0
2016-04-11,1241.5,2016-04-22,1228.699951171875,time_exit,-12.800048828125,-0.010310148069371727,-0.64000244140625
2016-04-26,1239.800048828125,2016-04-29,1279.800048828125,take_profit,40.0,0.032263266998423266,2.0
2016-06-09,1262.5,2016-06-16,1302.5,take_profit,40.0,0.031683168316831684,2.0
2016-08-01,1348.800048828125,2016-08-08,1328.800048828125,stop_loss,-20.0,-0.014827994718250906,-1.0
2016-08-10,1344.800048828125,2016-08-23,1340.5999755859375,time_exit,-4.2000732421875,-0.0031231953373644615,-0.210003662109375
