entry_date,entry_price,exit_date,exit_price,exit_reason,ambiguous,profit,return_pct,r_multiple,direction,entry_type,days_held,mae,mfe
2015-02-02,1284.0999755859375,2015-02-03,1264.0999755859375,stop_loss,False,-20.35,-0.01584767571599264,-1.0175,long,market,2,28.7999267578125,0.5999755859375
2015-02-05,1271.800048828125,2015-02-06,1251.800048828125,stop_loss,False,-20.35,-0.016000942930259443,-1.0175,long,market,2,43.800048828125,0.7999267578125
2015-03-23,1181.5999755859375,2015-04-06,1221.5999755859375,take_profit,False,39.65,0.03355619568317794,1.9825,long,market,10,3.4000244140625,42.5999755859375
2015-04-22,1199.0999755859375,2015-04-24,1179.0999755859375,stop_loss,False,-20.35,-0.016971061975091795,-1.0175,long,market,3,24.5,3.5
2015-04-28,1199.699951171875,2015-04-30,1179.699951171875,stop_loss,False,-20.35,-0.016962574667209067,-1.0175,long,market,3,23.0,14.300048828125
2015-05-14,1214.5,2015-05-26,1193.5999755859375,stop_loss,False,-21.2500244140625,-0.017496932411743518,-1.062501220703125,long,market,8,28.5,13.5999755859375
2015-06-19,1199.699951171875,2015-06-23,1179.699951171875,stop_loss,False,-20.35,-0.016962574667209067,-1.0175,long,market,3,23.5,3.4000244140625
2015-08-11,1103.800048828125,2015-08-20,1143.800048828125,take_profit,False,39.65,0.035921360976650926,1.9825,long,market,8,9.800048828125,49.5
2015-09-21,1137.5999755859375,2015-09-30,1117.5999755859375,stop_loss,False,-20.35,-0.017888537655355027,-1.0175,long,market,8,25.5,18.300048828125
2015-10-05,1137.0999755859375,2015-10-14,1177.0999755859375,take_profit,False,39.65,0.03486940537446473,1.9825,long,market,8,4.5999755859375,51.9000244140625
2015-12-07,1084.9000244140625,2015-12-11,1064.9000244140625,stop_loss,False,-20.35,-0.018757488747399298,-1.0175,long,market,5,20.5,1.5999755859375
2015-12-17,1072.5999755859375,2015-12-17,1052.5999755859375,stop_loss,False,-20.35,-0.018972590400147316,-1.0175,long,market,1,22.0999755859375,0.0
2015-12-22,1078.5999755859375,2015-12-31,1058.5999755859375,stop_loss,False,-20.35,-0.01886705030652823,-1.0175,long,market,7,20.0999755859375,20.2000732421875
2016-01-05,1075.5999755859375,2016-01-19,1089.9000244140625,time_exit,False,13.950048828125,0.012969551082897388,0.6975024414062501,long,market,10,1.9000244140625,35.5
2016-03-18,1257.0999755859375,2016-03-23,1237.0999755859375,stop_loss,False,-20.35,-0.01618805217979168,-1.0175,long,market,4,38.5,7.300048828125
2016-04-11,1241.5,2016-04-22,1228.699951171875,time_exit,False,-13.150048828125,-0.010592065105215464,-0.65750244140625,long,market,10,17.0,29.0999755859375
2016-04-26,1239.800048828125,2016-04-29,1279.800048828125,take_profit,False,39.65,0.03198096341218706,1.9825,long,market,4,6.800048828125,55.699951171875
2016-06-09,1262.5,2016-06-16,1302.5,take_profit,False,39.65,0.031405940594059406,1.9825,long,market,6,4.4000244140625,53.9000244140625
2016-08-01,1348.800048828125,2016-08-08,1328.800048828125,stop_loss,False,-20.35,-0.015087484625820297,-1.0175,long,market,6,21.0,17.199951171875
2016-08-10,1344.800048828125,2016-08-23,1340.5999755859375,time_exit,False,-4.5500732421875,-0.003383457076873613,-0.22750366210937498,long,market,10,11.60009765625,10.199951171875
