entry_date,entry_price,exit_date,exit_price,exit_reason,ambiguous,profit,return_pct,r_multiple,direction,entry_type,days_held,mae,mfe
2015-02-10,118.61399841308594,2015-02-23,119.07599639892578,time_exit,False,0.45199798583984374,0.0038106630910941255,0.45199798583984374,long,market,10,0.3699951171875,1.7880020141601562
2015-03-23,120.01300048828124,2015-03-26,119.01300048828124,stop_loss,False,-1.01,-0.008415754925639262,-1.01,long,market,4,1.6829986572265625,0.13600158691409092
2015-04-09,120.08999633789062,2015-04-14,119.08999633789062,stop_loss,False,-1.01,-0.008410359153964986,-1.01,long,market,4,1.0219955444335795,0.743003845214858
2015-04-23,119.96399688720705,2015-04-24,118.96399688720705,stop_loss,False,-1.01,-0.008419192642852886,-1.01,long,market,2,1.0719985961914205,0.11400604248045454
2015-05-05,120.10700225830078,2015-05-07,119.10700225830078,stop_loss,False,-1.01,-0.008409168333315864,-1.01,long,market,3,1.048004150390625,0.38899993896484375
2015-05-11,119.8270034790039,2015-05-22,121.03900146484376,time_exit,False,1.201997985839858,0.01003111110969634,1.201997985839858,long,market,10,0.9370040893554688,1.7309951782226562
2015-06-25,123.86000061035156,2015-06-29,122.46600341796876,stop_loss,False,-1.4039971923827983,-0.011335355929793687,-1.4039971923827983,long,market,3,1.5120010375976562,0.11599731445311079
2015-07-15,123.33000183105467,2015-07-28,123.23999786376952,time_exit,False,-0.10000396728515625,-0.0008108648812163976,-0.10000396728515625,long,market,10,0.3300018310546733,1.142997741699233
2015-09-18,120.072998046875,2015-09-18,119.072998046875,stop_loss,False,-1.01,-0.00841154977745878,-1.01,long,market,1,1.0159988403320455,0.15200042724609375
2015-09-23,120.09100341796876,2015-10-02,119.09100341796876,stop_loss,False,-1.01,-0.00841028862490858,-1.01,long,market,8,1.3910064697265625,1.1389999389648295
2015-10-07,120.22000122070312,2015-10-14,119.22000122070312,stop_loss,False,-1.01,-0.008401264263388376,-1.01,long,market,6,1.1500015258789062,0.12999725341796875
2015-10-23,120.88999938964844,2015-11-05,121.48999786376952,time_exit,False,0.5899984741210795,0.004880457251219077,0.5899984741210795,long,market,10,0.7149963378906392,1.0970001220703267
2015-12-08,123.3000030517578,2015-12-09,122.3000030517578,stop_loss,False,-1.01,-0.008191402879171309,-1.01,long,market,2,1.4560012817382812,0.01799774169924717
2016-01-26,118.23500061035156,2016-01-29,120.23500061035156,take_profit,False,1.99,0.016830887552139736,1.99,long,market,4,0.569000244140625,3.426002502441392
2016-03-07,113.81999969482422,2016-03-08,112.81999969482422,stop_loss,False,-1.01,-0.008873660188965262,-1.01,long,market,2,1.3550033569335938,0.0
2016-03-11,112.83899688720705,2016-03-17,111.83899688720705,stop_loss,False,-1.01,-0.008950806262568852,-1.01,long,market,5,2.1489944458008097,1.156005859375
2016-03-29,113.36499786376952,2016-03-30,112.36499786376952,stop_loss,False,-1.01,-0.008909275517419539,-1.01,long,market,2,1.3330001831054545,0.41899871826171875
2016-04-26,111.10800170898438,2016-04-28,110.10800170898438,stop_loss,False,-1.01,-0.00909025438730692,-1.01,long,market,3,3.1580047607421733,0.7449951171875
2016-05-12,108.44000244140624,2016-05-20,110.44000244140624,take_profit,False,1.99,0.018351161519710068,1.99,long,market,7,0.19800567626951704,2.1359939575195455
2016-07-14,104.03600311279295,2016-07-15,106.03600311279295,take_profit,False,1.99,0.019127993583552966,1.99,long,market,2,0.0,2.2689971923828267
2016-08-30,101.81199645996094,2016-09-01,103.81199645996094,take_profit,False,1.99,0.01954583024783918,1.99,long,market,3,0.055999755859375,2.1820068359375
2016-10-05,102.84200286865234,2016-10-18,103.85099792480467,time_exit,False,0.9989950561523295,0.00971388176315688,0.9989950561523295,long,market,10,0.1600036621093892,1.7689971923828125
2016-11-08,104.45500183105467,2016-11-09,103.45500183105467,stop_loss,False,-1.01,-0.009669235386483187,-1.01,long,market,2,3.249000549316392,0.965995788574233
2017-01-10,115.99600219726562,2017-01-12,114.99600219726562,stop_loss,False,-1.01,-0.008707196634952724,-1.01,long,market,3,2.236000061035142,0.8389968872070312
